"Evaluation Category","Evaluation Criterion","Evidence Summary","Source Type","Source URL","Evidence Confidence","Evaluation Notes"
"Category 1 – Core Agent Intelligence","Autonomy","K2view Data Agent Builder and AI Fusion enable autonomous agents to analyze incoming context, determine which enterprise data to retrieve, sequence actions, execute dynamic Python scripts, and select tools (text-to-SQL, APIs, data services, vector search) via an MCP orchestrator without manual intervention.","Official product documentation","https://support.k2view.com/Academy/articles/AI_fusion/02_modules_and_apps.html","High","Agents execute multi-step flows and utilize automated error-handling/reflection routines to construct context."
"Category 1 – Core Agent Intelligence","Planning & Reasoning","Utilizes chain-of-thought prompt orchestration, prompt chaining, ReAct patterns, reflection, and schema-aware semantic query generation to break down complex user requests into discrete execution steps and SQL actions within an agentic RAG architecture.","Technical documentation and developer guides","https://www.k2view.com/what-is-agentic-ai/","High","Supported by the platform's semantic enrichment, data grounding layer, and dynamic planning capabilities."
"Category 1 – Core Agent Intelligence","Workflow Orchestration","The Broadway orchestration engine coordinates multi-step business logic, data pipelines, and agent flows using configurable Stages and reusable modular Actors. K2view's MCP orchestrator plans processes, executes multi-stage data flows, and automates Data-as-a-Service delivery.","Official product documentation","https://support.k2view.com/Academy/articles/19_Broadway/01_broadway_overview.html","High","Broadway flows can be nested, exported, and reused as discrete actors across pipelines."
"Category 1 – Core Agent Intelligence","Memory & Context Management","K2view maintains real-time operational business context by organizing enterprise data into entity-based Micro-Databases (each customer/device maintains an isolated, always-fresh dataset) and vector stores. Its MCP orchestrator applies memory for multi-turn conversation continuity and session recall.","Official product documentation","https://www.k2view.com/solutions/ai-ready-data/","High","Supports runtime continuity and persistent entity-level business context; does not provide a separate personal long-term memory engine."
"Category 1 – Core Agent Intelligence","Learning & Adaptability","The AI Fusion Evaluation module provides multi-turn testing frameworks, LLM-as-judge scoring (accuracy, relevance, clarity), and continuous regression testing to evaluate and refine agent prompts/performance before deployment.","Official product documentation","https://support.k2view.com/Academy/articles/AI_fusion/02_modules_and_apps.html","Medium / High","Evaluated via pre-deployment benchmark scoring and regression testing; no official evidence of autonomous continual self-training from live production interactions."
"Category 2 – Agent Architecture & Development","Multi-Agent Collaboration","Data Agent Builder and AI Fusion support multi-agent system design and orchestration within Broadway flows, allowing specialized sub-agents and tool-calling agents to collaborate, share context, and execute tasks across structured hierarchical pipelines.","Official product documentation","https://support.k2view.com/Academy/articles/AI_fusion/02_modules_and_apps.html","High","Organizes heterogeneous sub-agents into structured, hierarchical execution paths and collaborative workflows."
"Category 2 – Agent Architecture & Development","Agent Creation (Low-Code / No-Code)","K2view Data Agent Builder provides a low-code/no-code visual environment in K2studio, featuring drag-and-drop workflow assembly, prebuilt agent templates, AI-assisted data-product design, and over 200 prebuilt data-processing functions.","Official product documentation","https://www.k2view.com/news-blog/k2view-introduces-data-agent-builder","High","Generally available visual no-code environment for rapid agent prototyping and deployment."
"Category 2 – Agent Architecture & Development","LLM Agnosticism / Model Flexibility","Features an LLM-agnostic architecture with out-of-the-box connectors for commercial and open-source models (installed via K2exchange). K2view Studio AI allows administrators to assign different models to specific agents, set model aliases, and configure fallback priority lists.","Technical documentation and developer guides","https://support.k2view.com/Academy/articles/AI_fusion/02_modules_and_apps.html","High","Centralized configuration interface supports multi-LLM routing, aliases, and connector updates."
"Category 2 – Agent Architecture & Development","Ease of Development","Provides a built-in chat playground, interactive visual debugging, step-by-step execution traces, live token and payload inspection, prebuilt agent templates, over 200 data functions, and centralized MCP connection setup via Studio AI.","Official product documentation","https://support.k2view.com/Academy/articles/AI_fusion/02_modules_and_apps.html","High","Accelerates testing and debugging by allowing real-time inspection of intermediate states, tokens, and data transformations."
"Category 3 – Enterprise Integration & Deployment","Tool & API Integration","Integrates with enterprise systems via Anthropic Model Context Protocol (MCP), REST/Web Service APIs, CDC, streaming message brokers, and native database connectors. Data products can expose governed business entity data directly as MCP tools.","Technical documentation and developer guides","https://www.k2view.com/news-blog/k2view-introduces-data-agent-builder","High","Native MCP server support allows LLMs to query databases, retrieve docs, and call enterprise APIs with governed context."
"Category 3 – Enterprise Integration & Deployment","Deployment Flexibility","Supports cloud (AWS, Azure, GCP), hybrid, on-premises, and multi-cloud deployment models. Deployments are managed across Kubernetes-orchestrated container environments (via K2cloud Orchestrator), supporting data-mesh and data-fabric topologies.","Official product documentation","https://support.k2view.com/Academy/articles/44_administration_and_operations/Platform_Behavior_and_Orchestration/Technical_Note_K2Cloud_Space_State_Transition_and_Status.pdf","High","Fully covers self-hosted Kubernetes, managed cloud spaces, hybrid networks, and air-gapped on-premises deployments."
"Category 4 – Governance, Security & Trust","Human-in-the-Loop (HITL)","Supports human-in-the-loop controls within Broadway flows and task orchestration, enabling approval stages, role-scoped guided execution interfaces, parameter overrides, and manual review checkpoints before operations proceed.","Official product documentation","https://support.k2view.com/Academy/articles/TDM/tdm_gui/14_task_overview.html","High","Administrators configure role-based approval steps and interactive checkpoints directly in data pipelines."
"Category 4 – Governance, Security & Trust","Observability & Explainability","Observation Dashboard tracks agent activity, conversation pathways, token consumption, sentiment, satisfaction, resolution, and risk levels. AI Agent History logs requests, responses, and injected context with drill-down trace views into individual session steps.","Technical documentation and developer guides","https://support.k2view.com/Academy/articles/AI_fusion/04_observation/01_observation_dashboard.html","High","Delivers end-to-end operational observability, token tracking, and trace-level visibility (not formal model feature attribution)."
"Category 4 – Governance, Security & Trust","Governance & Security","Data security is enforced through individually 256-bit encrypted Micro-Databases, dynamic on-the-fly data masking, role-based access control (RBAC), entity-level isolation boundaries (preventing cross-entity data leakage), and complete audit logging of agent operations.","Technical documentation and developer guides","https://www.k2view.com/blog/data-masking-vs-encryption","High","Entity-level isolation and dynamic masking ensure strict data privacy and regulatory compliance (SOC/GDPR/HIPAA-ready)."
