"Evaluation Category","Evaluation Criterion","Evidence Summary","Source Type","Source URL","Evidence Confidence","Evaluation Notes"
"Category 1 – Core Agent Intelligence","Autonomy","Writer AI agents autonomously execute end-to-end task pipelines—evaluating user inputs, determining when and how to select tools, executing custom Python scripts, querying Knowledge Graphs, and calling external APIs without manual intervention. Deployed no-code agents can also serve as reusable tools for other applications.","Technical documentation and developer guides","[1](https://dev.writer.com/blueprints/toolcalling) ; [2](https://dev.writer.com/home/applications-tool-calling) ; [3](https://dev.writer.com/agent-builder/overview)","High","Built on Agent Builder Blueprints, tool-calling execution blocks, and state execution engines."
"Category 1 – Core Agent Intelligence","Planning & Reasoning","Writer agents use reasoning decomposition to break down complex queries into subquestions, evaluating structured intermediate logic via Palmyra models and conditional decision blocks. Tool Calling blocks enable agents to extract parameters, sequence actions, and apply ReAct-style iterative reasoning.","Technical documentation and developer guides","[1](https://dev.writer.com/blueprints/toolcalling) ; [2](https://dev.writer.com/agent-builder/agent-architecture) ; [3](https://writer.com/blog/chat-app-rag-thought-process/)","High","Supports structured step decomposition, parameter extraction, and intermediate reasoning paths."
"Category 1 – Core Agent Intelligence","Workflow Orchestration","Agent Builder Blueprints provide visual and programmatic workflow orchestration using modular drag-and-drop blocks for loops, conditional if-else branching, RAG, text generation, classification, tool calling, state management, and custom enterprise workflows across people and systems.","Technical documentation and developer guides","[1](https://dev.writer.com/agent-builder/overview) ; [2](https://dev.writer.com/blueprints/if-else)","High","Blueprints define execution logic, routing, error handling, and cross-system orchestration (documented in Beta)."
"Category 1 – Core Agent Intelligence","Memory & Context Management","Writer provides multi-turn session state management shared across components, persistent key-value storage across blueprint steps, and graph-based Retrieval-Augmented Generation (Knowledge Graph) for persisting and retrieving semantic contextual data across agent sessions.","Technical documentation and developer guides","[1](https://dev.writer.com/agent-builder/agent-architecture) ; [2](https://dev.writer.com/agent-builder/state) ; [3](https://dev.writer.com/agent-builder/overview)","High","Agent state is session-scoped, while persistent storage and Knowledge Graph enable multi-session data persistence."
"Category 1 – Core Agent Intelligence","Learning & Adaptability","The platform supports systematic prompt evaluation, activity log reviews, and continuous accuracy benchmarking against standard frameworks (e.g., Stanford HELM, MMLU) across Palmyra models to guide iterative refinement.","Official product documentation","[1](https://dev.writer.com/home/language_support)","Medium / High","Focuses on prompt evaluation and benchmark scoring; no official documentation found demonstrating autonomous continual learning or runtime model-parameter retraining."
"Category 2 – Agent Architecture & Development","Multi-Agent Collaboration","Writer Agent Builder supports multi-agent architectures by enabling agents to invoke, route tasks to, exchange state with, and be chained to other Writer-built agents and deployed no-code tools across shared enterprise workflows.","Technical documentation and developer guides","[1](https://dev.writer.com/agent-builder/agent-architecture) ; [2](https://dev.writer.com/home/applications-tool-calling) ; [3](https://dev.writer.com/agent-builder/overview)","High","Agents orchestrate work across multiple sub-agents, external systems, and reusable tool agents."
"Category 2 – Agent Architecture & Development","Agent Creation (Low-Code / No-Code)","Writer provides both a No-Code Builder for prompt-based agent creation (defining inputs, instructions, and outputs) and a low-code visual Agent Builder featuring drag-and-drop blueprint canvases for configuring workflows, tools, RAG, and state.","Technical documentation and developer guides","[1](https://dev.writer.com/no-code/introduction) ; [2](https://dev.writer.com/agent-builder/overview) ; [3](https://dev.writer.com/home/development_options)","High","Enables technical and non-technical users to design logic and interfaces visually (Agent Builder noted in Beta)."
"Category 2 – Agent Architecture & Development","LLM Agnosticism / Model Flexibility","Writer AI Studio supports its proprietary Palmyra foundation models (including Palmyra X5, Med, and Fin) alongside external models from AWS Bedrock, Microsoft Azure, and NVIDIA NIM, selectable via unified model settings and API parameters.","Technical documentation and developer guides","[1](https://dev.writer.com/home/models-overview) ; [2](https://dev.writer.com/home/external-models)","High","External model support is available on Enterprise plans; provider and regional availability varies."
"Category 2 – Agent Architecture & Development","Ease of Development","Writer provides prebuilt agent templates, visual debuggers, local development sync, quickstart workflows, custom Python extension blocks, Docker-based local/cloud workflows, and official REST/Python/JS SDKs.","Technical documentation and developer guides","[1](https://dev.writer.com/agent-builder/overview) ; [2](https://dev.writer.com/agent-builder/quickstart) ; [3](https://dev.writer.com/home/development_options)","High","Supports end-to-end development without requiring custom boilerplate application code."
"Category 3 – Enterprise Integration & Deployment","Tool & API Integration","Agents integrate with enterprise systems via Tool Calling blocks, REST APIs, developer SDKs, prebuilt integration blocks (e.g., PDF parsing, web search), and an MCP gateway offering prebuilt and custom connectors with configurable authentication and permissions.","Technical documentation and developer guides","[1](https://dev.writer.com/blueprints/toolcalling) ; [2](https://dev.writer.com/home/mcp-gateway) ; [3](https://dev.writer.com/home/development_options)","High","Native MCP gateway and tool calling blocks enable secure bi-directional connections to enterprise APIs and data stores."
