Category,Criterion,Evidence Summary,Source Type,Source URL,Evidence Confidence,Evaluation Notes
"1 – Core Agent Intelligence","Autonomy","Google Cloud's Agent Platform enables agents to evaluate context, execute multi-step goals, run code in secure sandboxes, and determine tool usage autonomously. AES uses Claude on Vertex AI to automate auditing without constant monitoring.","Official product documentation; Customer case studies and implementation stories","[1](https://docs.cloud.google.com/gemini-enterprise-agent-platform/scale) ; [2](https://cloud.google.com/customers/aes)","High","Secure sandbox execution and proven autonomous decision-making."
"1 – Core Agent Intelligence","Planning & Reasoning","Vertex AI Reasoning Engine combines Gemini thinking models with agent frameworks for multi-step reasoning, ReAct loops, and dynamic tool selection. ADK supports planning and task decomposition.","Official product documentation","[1](https://docs.cloud.google.com/python/docs/reference/vertexai/latest/vertexai.preview.reasoning_engines.ReasoningEngine) ; [2](https://google.github.io/adk-docs/get-started/about/)","High","Native Gemini integration and custom Python support. Planning is an advanced capability and not enabled for all agent types by default."
"1 – Core Agent Intelligence","Workflow Orchestration","Agent Designer and ADK support visual and programmatic orchestration using sequential, parallel, loop, and LLM-driven workflows.","Official product documentation; Technical documentation and developer guides","[1](https://docs.cloud.google.com/gemini/enterprise/docs/agent-designer) ; [2](https://cloud.google.com/blog/topics/developers-practitioners/building-collaborative-ai-a-developers-guide-to-multi-agent-systems-with-adk)","High","Supports visual flow editing and complex multi-agent architectures."
"1 – Core Agent Intelligence","Memory & Context Management","Agent Engine Memory Bank stores and manages long-term user information across sessions. Agent Platform Sessions manage short-term state.","Official product documentation","[1](https://docs.cloud.google.com/gemini-enterprise-agent-platform/scale/memory-bank) ; [2](https://cloud.google.com/agent-builder/agent-engine/memory-bank/overview)","High","Supports memory extraction, consolidation, contradiction resolution, similarity search, and TTL expiration."
"1 – Core Agent Intelligence","Learning & Adaptability","Example Store and Gen AI Evaluation Service support performance monitoring and prompt refinement. Vertex AI also supports reinforcement-learning fine-tuning.","Official product documentation","[1](https://docs.cloud.google.com/gemini-enterprise-agent-platform/scale) ; [2](https://docs.cloud.google.com/gemini-enterprise-agent-platform/models/tuning/reinforcement-tuning)","High","Combines evaluation feedback with model-level reinforcement fine-tuning."
"2 – Agent Architecture & Development","Multi-Agent Collaboration","ADK and the open Agent2Agent (A2A) protocol support heterogeneous agents discovering capabilities, delegating tasks, and collaborating across platforms.","Official product documentation; Technical documentation and developer guides","[1](https://docs.cloud.google.com/gemini/enterprise/docs/register-and-manage-an-a2a-agent) ; [2](https://developers.googleblog.com/en/agent-development-kit-easy-to-build-multi-agent-applications/)","High","A2A enables cross-platform and cross-vendor agent interoperability."
"2 – Agent Architecture & Development","Agent Creation (Low-Code / No-Code)","Agent Designer provides natural-language interaction and visual workflows for creating, testing, and connecting agents to sources such as Gmail, Drive, and Jira.","Official product documentation; Technical documentation and developer guides","[1](https://docs.cloud.google.com/gemini/enterprise/docs/agent-designer)","High","Available across Gemini Enterprise editions and includes CX Agent Studio."
"2 – Agent Architecture & Development","LLM Agnosticism / Model Flexibility","Supports Gemini, open-source models through Model Garden/Hugging Face, custom vLLM containers, and third-party models such as Claude, OpenAI, and Mistral.","Official product documentation; Technical documentation and developer guides","[1](https://docs.cloud.google.com/gemini-enterprise-agent-platform/models/open-models/deploy-custom-vllm) ; [2](https://google.github.io/adk-docs/agents/models/vertex/)","High","Gemini has the deepest native support; other models may require LiteLLM or custom vLLM deployment."
"2 – Agent Architecture & Development","Ease of Development","ADK enables production-ready agents with relatively little code and provides Agent Garden, CLI evaluation, and a visual Web UI for testing.","Technical documentation and developer guides","[1](https://codelabs.developers.google.com/multi-agent-app-with-adk) ; [2](https://google.github.io/adk-docs/get-started/about/)","High","Supports rapid prototyping through Google AI Studio, Cloud Shell, and local evaluation tools."
"3 – Enterprise Integration & Deployment","Tool & API Integration","Agents integrate through MCP, OpenAPI, Apigee API Hub, 100+ Application Integration connectors, and Google Search grounding.","Official product documentation; Technical documentation and developer guides","[1](https://docs.cloud.google.com/apigee/docs/api-platform/apigee-mcp/apigee-mcp-overview) ; [2](https://cloud.google.com/blog/products/ai-machine-learning/mcp-support-for-apigee)","High","Native MCP proxy support, enterprise connectors, and live grounding."
