evaluation_id,vendor_id,vendor,category_id,evaluation_category,criterion_id,evaluation_criterion,evaluation_status,assigned_score,rating,score_justification,evidence_summary,source_type,source_url,evidence_confidence,evaluation_notes
E0001,V001,C3.ai,CAT01,Category 1 - Core Agent Intelligence,C01,Autonomy,Evaluated,5.0,Excellent,"Assigned score of 5 based on the documented evidence for this criterion. Uses automated reflection loops, tool selection, and dynamic script generation to execute multi-step workflows against enterprise systems.","C3 AI agents execute multi-step database queries, analyze information, surface insights, and orchestrate enterprise workflows autonomously. They dynamically generate and run Python scripts in real time while leveraging error self-correction and reflection mechanisms to refine outputs without manual intervention.",Official Documentation,1](https://c3.ai/blog/c3-generative-ais-intelligent-query-agents-unlock-structured-data-insights) ; [2](https://c3.ai/products/c3-generative-ai) ; [3](https://docs.c3.ai/docs/genAiSearch/8.9/topic/genai-dev-agents-and-tools-overview),High,"Uses automated reflection loops, tool selection, and dynamic script generation to execute multi-step workflows against enterprise systems."
E0002,V001,C3.ai,CAT01,Category 1 - Core Agent Intelligence,C02,Learning & Adaptability,Evaluated,4.0,Strong,Assigned score of 4 based on the documented evidence for this criterion. Combines three-tiered evaluation loops and agent distillation with configurable in-context few-shot learning.,"Employs an evaluation framework with three feedback loops (automated ML metrics, ground-truth comparison, LLM self-grading with human calibration). The STAFF framework distills operational history into fine-tuned agents, while few-shot examples guide in-context adaptation.",Official Documentation,1](https://c3.ai/blog/c3-generative-ai-getting-the-most-out-of-enterprise-data) ; [2](https://docs.c3.ai/docs/genAiSearch/8.10/topic/genai-dev-agent-few-shots),High / Medium,Combines three-tiered evaluation loops and agent distillation with configurable in-context few-shot learning.
E0003,V001,C3.ai,CAT01,Category 1 - Core Agent Intelligence,C03,Memory & Context Management,Evaluated,4.0,Strong,"Assigned score of 4 based on the documented evidence for this criterion. Merges vector retrieval with persistent few-shot example memory. Public docs emphasize session-level context, while persistent long-term memory leverages domain stores.","Uses vector-store RAG combined with long-term memory to maintain domain-specific context, atomic tasks, and few-shot examples. Short-term conversational context is preserved within active and recent user sessions.",Official Documentation,1](https://c3.ai/blog/c3-generative-ais-intelligent-query-agents-unlock-structured-data-insights) ; [2](https://docs.c3.ai/docs/genAiSearch/8.9/topic/genai-dev-agents-overview) ; [3](https://docs.c3.ai/docs/genAiSearch/8.9/topic/genai-dev-features-capabilities),High,"Merges vector retrieval with persistent few-shot example memory. Public docs emphasize session-level context, while persistent long-term memory leverages domain stores."
E0004,V001,C3.ai,CAT01,Category 1 - Core Agent Intelligence,C04,Planning & Reasoning,Evaluated,5.0,Excellent,"Assigned score of 5 based on the documented evidence for this criterion. Supports iterative multi-step reasoning, dynamic tool selection, and context retrieval over complex, heterogeneous data.","Dynamic multi-hop orchestration agents utilize step-by-step reasoning (inspired by Demonstrate-Search-Predict / Read-Extract-Answer frameworks) to interpret queries, select tools, retrieve context, and execute tasks across multiple iterative hops.",Technical documentation and developer guides,1](https://c3.ai/blog/an-introduction-to-multi-hop-orchestration-ai-agents-part-1) ; [2](https://docs.c3.ai/docs/genAiSearch/8.10/topic/genai-dev-architecture) ; [3](https://docs.c3.ai/docs/genAiSearch/8.10/topic/genai-dev-agent-few-shots),High,"Supports iterative multi-step reasoning, dynamic tool selection, and context retrieval over complex, heterogeneous data."
E0005,V001,C3.ai,CAT01,Category 1 - Core Agent Intelligence,C05,Workflow Orchestration,Evaluated,5.0,Excellent,"Assigned score of 5 based on the documented evidence for this criterion. Enables graph-based workflow definition, scheduled/event-driven task orchestration, and structured data retrieval pipelines.","C3 Agentic AI Platform provides Agentic Process Automation (APA) and Agentic Workflows over C3 AI Object Models. It connects data sources, ML models, and business logic into directed graph workflows and self-executing decision chains triggered on schedule, on demand, or by data events.",Official Documentation,1](https://c3.ai/products/c3-agentic-ai-platform) ; [2](https://docs.c3.ai/docs/platform/8.10/topic/platform-overview) ; [3](https://docs.c3.ai/docs/genAiSearch/8.9/topic/genai-dev-workflows-overview),High,"Enables graph-based workflow definition, scheduled/event-driven task orchestration, and structured data retrieval pipelines."
E0006,V001,C3.ai,CAT02,Category 2 - Agent Architecture & Development,C06,Agent Creation (Low-Code / No-Code),Evaluated,5.0,Excellent,"Assigned score of 5 based on the documented evidence for this criterion. Features low-code Application Canvas, template duplication, and visual data pipeline design tools.","C3 AI Studio provides a graphical Application Canvas and visual UI where users can construct dashboards, configure workflows, management/delete, and interactively test agents using natural language or by cloning templates (e.g., Dynamic, Canvas, Deep Research agents).",Official Documentation,1](https://docs.c3.ai/docs/platform/8.9/topic/about-studio) ; [2](https://docs.c3.ai/docs/genAiSearch/8.10/topic/genai-dev-dynamic-agent-config-ux),High,"Features low-code Application Canvas, template duplication, and visual data pipeline design tools."
E0007,V001,C3.ai,CAT02,Category 2 - Agent Architecture & Development,C07,Ease of Development,Evaluated,5.0,Excellent,Assigned score of 5 based on the documented evidence for this criterion. Comprehensive developer tooling combining visual low-code managers with IDE extensions and sample code libraries.,"Features C3 Code (a natural-language development environment), native VS Code extensions, managed JupyterLab services with pre-written code blocks, pre-built domain templates, and reusable tools/components to streamline agent development.",Official Documentation,1](https://docs.c3.ai/docs/platform/8.9/topic/about-studio) ; [2](https://docs.c3.ai/docs/genaiPlatform/8.10/topic/genaiPlatform-dev-overview) ; [3](https://docs.c3.ai/docs/platform/8.10/topic/how-c3-applications-are-structured),High,Comprehensive developer tooling combining visual low-code managers with IDE extensions and sample code libraries.
E0008,V001,C3.ai,CAT02,Category 2 - Agent Architecture & Development,C08,LLM Agnosticism / Model Flexibility,Evaluated,5.0,Excellent,Assigned score of 5 based on the documented evidence for this criterion. Allows switching underlying LLM providers and models seamlessly via a standardized client abstraction.,"Standardized LLM client interface supports commercial models (Azure OpenAI, Azure AI, AWS Bedrock, Google Vertex AI/PaLM/Gemini, Claude), open-source models (Llama, Mistral, Falcon, FLAN-T5), and custom fine-tuned enterprise models without altering application logic.",Technical documentation and developer guides,1](https://c3.ai/blog/c3-generative-ai-getting-the-most-out-of-enterprise-data) ; [2](https://docs.c3.ai/docs/genaiPlatform/8.10/topic/genaiPlatform-llm-client-ui),High,Allows switching underlying LLM providers and models seamlessly via a standardized client abstraction.
E0009,V001,C3.ai,CAT02,Category 2 - Agent Architecture & Development,C09,Multi-Agent Collaboration,Evaluated,5.0,Excellent,Assigned score of 5 based on the documented evidence for this criterion. Multi-agent interaction is modeled as directed graph topologies of specialized agents coordinated via a central orchestrator.,"C3 AI's STAFF framework and C3 Generative AI architecture orchestrate specialized agents (process extraction, generators, critics, tool users) structured as directed graphs, using a central orchestrator to coordinate tools, models, and decision nodes.",Official Documentation,1](https://c3.ai/blog/agents-unleashed-scalable-and-self-improving-ai) ; [2](https://c3.ai/products/c3-generative-ai) ; [3](https://docs.c3.ai/docs/genAiSearch/8.9/topic/genai-dev-workflows-overview),High,Multi-agent interaction is modeled as directed graph topologies of specialized agents coordinated via a central orchestrator.
E0010,V001,C3.ai,CAT03,Category 3 - Enterprise Integration & Deployment,C10,Deployment Flexibility,Evaluated,5.0,Excellent,"Assigned score of 5 based on the documented evidence for this criterion. Highly flexible deployment footprint supporting multicloud, hybrid, on-premises Kubernetes, and air-gapped government clouds.","Agents deploy as C3 AI-managed or customer-managed cloud services across AWS (including AWS GovCloud and ICMP Marketplace), Microsoft Azure, Google Cloud, or on-premises/air-gapped FedRAMP environments using Kubernetes (RKE2/OpenShift).",Official Documentation,1](https://docs.c3.ai/docs/platform/8.9/topic/about-platform) ; [2](https://docs.c3.ai/docs/platform/8.10/topic/hardware-profiles) ; [3](https://docs.c3.ai/docs/platform/8.9/topic/admin-non-standard-requirements),High,"Highly flexible deployment footprint supporting multicloud, hybrid, on-premises Kubernetes, and air-gapped government clouds."
