"Evaluation Category","Evaluation Criterion","Evidence Summary","Source Type","Source URL","Evidence Confidence","Evaluation Notes"
"Category 1 – Core Agent Intelligence","Autonomy","Agentforce operates autonomously via the Atlas Reasoning Engine, analyzing incoming user queries or events, classifying intents under configured Topics, and independently selecting and executing actions (such as Salesforce Flows, Apex, prompt templates, or API calls) without scripted decision trees.","Official product documentation","https://developer.salesforce.com/docs/ai/agentforce/guide/ascript-ref-actions.html; https://help.salesforce.com/s/articleView?id=005134880&language=en_US&type=1","High","Operates autonomously within configured Topic instructions, action targets, and guardrails to perform tasks rather than just generate responses."
"Category 1 – Core Agent Intelligence","Planning & Reasoning","The Atlas Reasoning Engine employs a ReAct-based planning and reasoning framework that translates complex user goals into step-wise execution plans, dynamically orchestrates tool invocations, and assesses intermediate outcomes, treating execution plans as living documents adjusted during multi-step reasoning.","Technical documentation and developer guides","https://developer.salesforce.com/docs/ai/agentforce/guide/agent-dx-metadata.html; https://www.salesforce.com/in/agentforce/what-is-agentic-ai/agentic-reasoning/","High","Combines LLM reasoning with deterministic logic via Agent Script and Atlas dynamic tool selection."
"Category 1 – Core Agent Intelligence","Workflow Orchestration","Agentforce orchestrates business workflows using modular building blocks (Topics, Instructions, and Actions) and Agent Script. It supports deterministic action chaining, conditional branching, subagent routing, transitions, and direct connections to Salesforce Flow, Apex classes, MuleSoft APIs, and external REST endpoints.","Technical documentation and developer guides","https://developer.salesforce.com/docs/ai/agentforce/guide/ascript-patterns.html; https://help.salesforce.com/s/articleView?id=005134880&language=en_US&type=1","High","Supports visual flow authoring in Flow Builder as well as programmatic script definitions."
"Category 1 – Core Agent Intelligence","Memory & Context Management","Context assembly combines multi-turn conversational history (via Agent Script variables and dialogue state tracking) with real-time semantic grounding from Salesforce CRM and Data Cloud records across session turns.","Technical documentation and developer guides","https://developer.salesforce.com/docs/ai/agentforce/guide/ascript-ref-variables.html; https://help.salesforce.com/s/articleView?id=005134880&language=en_US&type=1","High","Evidence supports real-time CRM/Data Cloud grounding and session state memory; does not establish general-purpose persistent long-term memory across independent sessions."
"Category 1 – Core Agent Intelligence","Learning & Adaptability","Agentforce logs prompts, responses, and trust signals in Data 360/Data Cloud. The Agentforce Testing Center and Connect APIs provide automated evaluation suites, custom scoring criteria, and simulated testing in sandboxes to iteratively refine prompts, instructions, and Agent Scripts based on feedback.","Technical documentation and developer guides","https://help.salesforce.com/s/articleView?id=sf.agent_supported_languages.htm&language=en_US&type=5; https://developer.salesforce.com/docs/ai/agentforce/guide/testing-api-get-started.html","High","Supports iterative human-guided refinement and automated regression testing; does not represent autonomous continual model retraining from live production data."
"Category 2 – Agent Architecture & Development","Multi-Agent Collaboration","Agentforce supports multi-agent architectures where specialized agents, subagents, and connected subagents collaborate, share context, delegate domain-specific subtasks, and coordinate across distinct business workflows in the same Salesforce org.","Technical documentation and developer guides","https://developer.salesforce.com/docs/ai/agentforce/guide/ascript-blocks.html; https://www.salesforce.com/in/agentforce/multi-agent-orchestration/","High","Connected-subagent multi-agent orchestration is documented as a Beta service."
"Category 2 – Agent Architecture & Development","Agent Creation (Low-Code / No-Code)","Agentforce Builder provides a declarative low-code/no-code graphical interface and built-in AI assistance to define agent topics, assign actions, configure natural-language instructions, and preview/test responses interactively using clicks.","Technical documentation and developer guides","https://help.salesforce.com/s/articleView?id=ai.agent_builder_tour.htm; https://developer.salesforce.com/docs/ai/agentforce/guide/agent-dx.html","High","Includes conversational prompt-based agent generation, prebuilt templates, and visual configuration tools."
"Category 2 – Agent Architecture & Development","LLM Agnosticism / Model Flexibility","Einstein 1 Studio Model Builder supports Bring Your Own Large Language Model (BYOLLM) and an LLM Open Connector, allowing organizations to connect external foundation models (such as OpenAI, Azure OpenAI, Anthropic Claude, Google Gemini) alongside Salesforce-hosted models, assignable per agent or subagent.","Technical documentation and developer guides","https://developer.salesforce.com/docs/ai/agentforce/guide/models-get-started.html; https://help.salesforce.com/s/articleView?language=en_US&id=data.c360_a_ai_foundation_models.htm&type=5","High","Requires Data Cloud enablement for external model registration and custom endpoint connections."
"Category 2 – Agent Architecture & Development","Ease of Development","Agentforce DX integrates with Salesforce CLI, Visual Studio Code extensions, Agent Script authoring, scratch orgs, visual Canvas, live draft previewing, and prebuilt reusable templates to streamline both pro-code and low-code agent creation and testing.","Technical documentation and developer guides","https://help.salesforce.com/s/articleView?id=ai.agent_builder_tour.htm; https://developer.salesforce.com/docs/ai/agentforce/guide/agent-dx.html","High","Supports bi-directional synchronization between local developer projects and Salesforce orgs."
"Category 3 – Enterprise Integration & Deployment","Tool & API Integration","Agents connect to third-party tools and enterprise systems using MuleSoft Anypoint integration, Salesforce External Services via OpenAPI specifications, standard Apex classes, Flow HTTP callouts, and Model Context Protocol (MCP) solutions.","Technical documentation and developer guides","https://developer.salesforce.com/docs/ai/agentforce/guide/ascript-ref-actions.html; https://www.salesforce.com/in/agentforce/dev-tools/","High","Native MuleSoft ecosystem connectivity provides extensive enterprise API management and orchestration."
"Category 3 – Enterprise Integration & Deployment","Deployment Flexibility","Agents can be deployed across multiple channels (Salesforce Omni-Channel, Service Cloud, Experience Cloud, Slack, WhatsApp, SMS, mobile apps, web chat) and moved across sandbox, scratch, and production orgs via Agentforce DX metadata deployment.","Technical documentation and developer guides","https://developer.salesforce.com/docs/ai/agentforce/guide/agent-dx.html; https://help.salesforce.com/s/articleView?language=en_US&id=ai.service_agent_escalation.htm&type=5","High","Supports multi-channel engagement managed via Salesforce metadata; does not support arbitrary self-hosted runtime deployment."
"Category 4 – Governance, Security & Trust","Human-in-the-Loop (HITL)","Agentforce actions can require explicit user confirmation before execution. Additionally, native Omni-Channel routing and Agent Script escalation routines support seamless transfer of unresolved interactions to human service representatives with full conversation context.","Official product documentation","https://developer.salesforce.com/docs/ai/agentforce/guide/ascript-ref-actions.html; https://help.salesforce.com/s/articleView?language=en_US&id=ai.service_agent_escalation.htm&type=5","High","Enforces pre-action user confirmations and transparent context handover during human escalation."
"Category 4 – Governance, Security & Trust","Observability & Explainability","Agentforce Observability delivers Session Tracing data models, step-by-step reasoning logs, topic quality scores, deflection/escalation analytics, and Agentforce Testing Center evaluation scores, queryable via Data Cloud and visualized in Tableau.","Official product documentation","https://help.salesforce.com/s/articleView?id=ai.generative_ai_session_trace_data_model.htm; https://help.salesforce.com/s/articleView?id=005226932&language=en_US&type=1","High","Provides operational trace and source citation transparency; not formal model-feature attribution or causal explainability."
"Category 4 – Governance, Security & Trust","Governance & Security","Executed natively within Salesforce Hyperforce, the Einstein Trust Layer enforces dynamic PII data masking, toxicity detection, CRM data grounding, audit logging, configurable guardrails, and contractual zero-data-retention agreements with third-party model providers.","Technical documentation and developer guides","https://help.salesforce.com/s/articleView?id=sf.copilot_trust.htm&language=en_US&type=5; https://developer.salesforce.com/docs/ai/agentforce/guide/trust.html","High","Comprehensive trust pipeline respecting granular Salesforce role-based permissions and data residency."
"Category 5 – Enterprise Readiness & Business Value","Scalability","Built on Salesforce Hyperforce public cloud infrastructure and Data Cloud, Agentforce provides elastic compute scaling, global multi-region availability, and consumption-based scaling across channels (proven across >100k website and >2M Salesforce Help conversations).","Official product documentation","https://help.salesforce.com/s/articleView?id=ai.agent_builder_tour.htm; https://www.salesforce.com/in/platform/public-cloud-infrastructure/","High","Native Hyperforce deployment supports global hyperscaler infrastructure and enterprise-scale concurrency."
"Category 5 – Enterprise Readiness & Business Value","Business Domain Fit","Provides out-of-the-box domain-specific agents mapping directly to CRM and business operations, including Agentforce Service Agent, Sales Development Representative (SDR), Sales Coach, Commerce Agent, and Campaign Optimizer across sales, marketing, service, finance, and healthcare.","Technical documentation and developer guides","https://developer.salesforce.com/blogs/2025/07/best-practices-for-building-agentforce-apex-actions; https://help.salesforce.com/s/articleView?id=release-notes.rn_einstein_copilot.htm&language=en_US&release=252&type=5","High","Deep domain integration across Salesforce clouds and extensive cross-industry operational workflows."
"Category 5 – Enterprise Readiness & Business Value","Business Value / ROI","A Forrester Total Economic Impact study demonstrated a 396% three-year ROI, 35% case deflection, 50% handling time reduction, and payback in under 12 months. Salesforce's internal deployment achieved a 40% reduction in qualification time and $20M in pipeline growth.","Analyst reports (e.g., Gartner, Forrester, IDC)","https://tei.forrester.com/go/Salesforce/Agentforce/?lang=en-us","High / Medium","Forrester study reflects independent composite financial modeling; internal deployment metrics are vendor-reported."
