"Evaluation Category","Evaluation Criterion","Evidence Summary","Source Type","Source URL","Evidence Confidence","Evaluation Notes"
"Category 1 – Core Agent Intelligence","Autonomy","C3 AI agents execute multi-step database queries, analyze information, surface insights, and orchestrate enterprise workflows autonomously. They dynamically generate and run Python scripts in real time while leveraging error self-correction and reflection mechanisms to refine outputs without manual intervention.","Official product documentation","[1](https://c3.ai/blog/c3-generative-ais-intelligent-query-agents-unlock-structured-data-insights) ; [2](https://c3.ai/products/c3-generative-ai) ; [3](https://docs.c3.ai/docs/genAiSearch/8.9/topic/genai-dev-agents-and-tools-overview)","High","Uses automated reflection loops, tool selection, and dynamic script generation to execute multi-step workflows against enterprise systems."
"Category 1 – Core Agent Intelligence","Planning & Reasoning","Dynamic multi-hop orchestration agents utilize step-by-step reasoning (inspired by Demonstrate-Search-Predict / Read-Extract-Answer frameworks) to interpret queries, select tools, retrieve context, and execute tasks across multiple iterative hops.","Technical documentation and developer guides","[1](https://c3.ai/blog/an-introduction-to-multi-hop-orchestration-ai-agents-part-1) ; [2](https://docs.c3.ai/docs/genAiSearch/8.10/topic/genai-dev-architecture) ; [3](https://docs.c3.ai/docs/genAiSearch/8.10/topic/genai-dev-agent-few-shots)","High","Supports iterative multi-step reasoning, dynamic tool selection, and context retrieval over complex, heterogeneous data."
"Category 1 – Core Agent Intelligence","Workflow Orchestration","C3 Agentic AI Platform provides Agentic Process Automation (APA) and Agentic Workflows over C3 AI Object Models. It connects data sources, ML models, and business logic into directed graph workflows and self-executing decision chains triggered on schedule, on demand, or by data events.","Official product documentation","[1](https://c3.ai/products/c3-agentic-ai-platform) ; [2](https://docs.c3.ai/docs/platform/8.10/topic/platform-overview) ; [3](https://docs.c3.ai/docs/genAiSearch/8.9/topic/genai-dev-workflows-overview)","High","Enables graph-based workflow definition, scheduled/event-driven task orchestration, and structured data retrieval pipelines."
"Category 1 – Core Agent Intelligence","Memory & Context Management","Uses vector-store RAG combined with long-term memory to maintain domain-specific context, atomic tasks, and few-shot examples. Short-term conversational context is preserved within active and recent user sessions.","Official product documentation","[1](https://c3.ai/blog/c3-generative-ais-intelligent-query-agents-unlock-structured-data-insights) ; [2](https://docs.c3.ai/docs/genAiSearch/8.9/topic/genai-dev-agents-overview) ; [3](https://docs.c3.ai/docs/genAiSearch/8.9/topic/genai-dev-features-capabilities)","High","Merges vector retrieval with persistent few-shot example memory. Public docs emphasize session-level context, while persistent long-term memory leverages domain stores."
"Category 1 – Core Agent Intelligence","Learning & Adaptability","Employs an evaluation framework with three feedback loops (automated ML metrics, ground-truth comparison, LLM self-grading with human calibration). The STAFF framework distills operational history into fine-tuned agents, while few-shot examples guide in-context adaptation.","Official product documentation","[1](https://c3.ai/blog/c3-generative-ai-getting-the-most-out-of-enterprise-data) ; [2](https://docs.c3.ai/docs/genAiSearch/8.10/topic/genai-dev-agent-few-shots)","High / Medium","Combines three-tiered evaluation loops and agent distillation with configurable in-context few-shot learning."
"Category 2 – Agent Architecture & Development","Multi-Agent Collaboration","C3 AI's STAFF framework and C3 Generative AI architecture orchestrate specialized agents (process extraction, generators, critics, tool users) structured as directed graphs, using a central orchestrator to coordinate tools, models, and decision nodes.","Official product documentation","[1](https://c3.ai/blog/agents-unleashed-scalable-and-self-improving-ai) ; [2](https://c3.ai/products/c3-generative-ai) ; [3](https://docs.c3.ai/docs/genAiSearch/8.9/topic/genai-dev-workflows-overview)","High","Multi-agent interaction is modeled as directed graph topologies of specialized agents coordinated via a central orchestrator."
"Category 2 – Agent Architecture & Development","Agent Creation (Low-Code / No-Code)","C3 AI Studio provides a graphical Application Canvas and visual UI where users can construct dashboards, configure workflows, management/delete, and interactively test agents using natural language or by cloning templates (e.g., Dynamic, Canvas, Deep Research agents).","Official product documentation","[1](https://docs.c3.ai/docs/platform/8.9/topic/about-studio) ; [2](https://docs.c3.ai/docs/genAiSearch/8.10/topic/genai-dev-dynamic-agent-config-ux)","High","Features low-code Application Canvas, template duplication, and visual data pipeline design tools."
"Category 2 – Agent Architecture & Development","LLM Agnosticism / Model Flexibility","Standardized LLM client interface supports commercial models (Azure OpenAI, Azure AI, AWS Bedrock, Google Vertex AI/PaLM/Gemini, Claude), open-source models (Llama, Mistral, Falcon, FLAN-T5), and custom fine-tuned enterprise models without altering application logic.","Technical documentation and developer guides","[1](https://c3.ai/blog/c3-generative-ai-getting-the-most-out-of-enterprise-data) ; [2](https://docs.c3.ai/docs/genaiPlatform/8.10/topic/genaiPlatform-llm-client-ui)","High","Allows switching underlying LLM providers and models seamlessly via a standardized client abstraction."
"Category 2 – Agent Architecture & Development","Ease of Development","Features C3 Code (a natural-language development environment), native VS Code extensions, managed JupyterLab services with pre-written code blocks, pre-built domain templates, and reusable tools/components to streamline agent development.","Official product documentation","[1](https://docs.c3.ai/docs/platform/8.9/topic/about-studio) ; [2](https://docs.c3.ai/docs/genaiPlatform/8.10/topic/genaiPlatform-dev-overview) ; [3](https://docs.c3.ai/docs/platform/8.10/topic/how-c3-applications-are-structured)","High","Comprehensive developer tooling combining visual low-code managers with IDE extensions and sample code libraries."
"Category 3 – Enterprise Integration & Deployment","Tool & API Integration","C3 AI Studio, Data Fusion, and custom agent tools integrate with enterprise systems (SAP, ERP, CRM, SCADA, sensor data) using REST APIs, C3 AI Type System object models, pre-built connectors, and cloud storage/database access tools.","Technical documentation and developer guides","[1](https://c3.ai/products/studio) ; [2](https://docs.c3.ai/docs/genAiSearch/8.10/topic/genai-dev-architecture) ; [3](https://docs.c3.ai/docs/platform/8.10/topic/connector-reference-table)","High","Uses C3 Type System and Data Fusion visual connectors for seamless enterprise system integration."
