Vendor,Evaluation Criterion,Evaluation Status,Assigned Score,Score Justification
C3.ai,Autonomy,Evaluated,5,"Assigned score of 5 based on the documented evidence for this criterion. Uses automated reflection loops, tool selection, and dynamic script generation to execute multi-step workflows against enterprise systems."
C3.ai,Learning & Adaptability,Evaluated,4,Assigned score of 4 based on the documented evidence for this criterion. Combines three-tiered evaluation loops and agent distillation with configurable in-context few-shot learning.
C3.ai,Memory & Context Management,Evaluated,4,"Assigned score of 4 based on the documented evidence for this criterion. Merges vector retrieval with persistent few-shot example memory. Public docs emphasize session-level context, while persistent long-term memory leverages domain stores."
C3.ai,Planning & Reasoning,Evaluated,5,"Assigned score of 5 based on the documented evidence for this criterion. Supports iterative multi-step reasoning, dynamic tool selection, and context retrieval over complex, heterogeneous data."
C3.ai,Workflow Orchestration,Evaluated,5,"Assigned score of 5 based on the documented evidence for this criterion. Enables graph-based workflow definition, scheduled/event-driven task orchestration, and structured data retrieval pipelines."
C3.ai,Agent Creation (Low-Code / No-Code),Evaluated,5,"Assigned score of 5 based on the documented evidence for this criterion. Features low-code Application Canvas, template duplication, and visual data pipeline design tools."
C3.ai,Ease of Development,Evaluated,5,Assigned score of 5 based on the documented evidence for this criterion. Comprehensive developer tooling combining visual low-code managers with IDE extensions and sample code libraries.
C3.ai,LLM Agnosticism / Model Flexibility,Evaluated,5,Assigned score of 5 based on the documented evidence for this criterion. Allows switching underlying LLM providers and models seamlessly via a standardized client abstraction.
C3.ai,Multi-Agent Collaboration,Evaluated,5,Assigned score of 5 based on the documented evidence for this criterion. Multi-agent interaction is modeled as directed graph topologies of specialized agents coordinated via a central orchestrator.
C3.ai,Deployment Flexibility,Evaluated,5,"Assigned score of 5 based on the documented evidence for this criterion. Highly flexible deployment footprint supporting multicloud, hybrid, on-premises Kubernetes, and air-gapped government clouds."
C3.ai,Tool & API Integration,Evaluated,5,Assigned score of 5 based on the documented evidence for this criterion. Uses C3 Type System and Data Fusion visual connectors for seamless enterprise system integration.
C3.ai,Governance & Security,Evaluated,5,"Assigned score of 5 based on the documented evidence for this criterion. Enterprise-grade security featuring row-level authorization, compliance audit logs, and modern SSO protocol support."
C3.ai,Human-in-the-Loop (HITL),Evaluated,5,Assigned score of 5 based on the documented evidence for this criterion. Built-in interactive checkpoints allow explicit human review steps within complex automated agent workflows.
C3.ai,Observability & Explainability,Evaluated,5,Assigned score of 5 based on the documented evidence for this criterion. Combines exact source attribution and visual data lineage with operational trace visibility and configuration auditing.
C3.ai,Business Domain Fit,Evaluated,5,Assigned score of 5 based on the documented evidence for this criterion. Extensive pre-built operational applications and domain algorithms validated across diverse global industries.
C3.ai,Business Value / ROI,Evaluated,5,"Assigned score of 5 based on the documented evidence for this criterion. Demonstrates quantifiable customer ROI and operational improvements, though results are customer-reported."
C3.ai,Scalability,Evaluated,5,Assigned score of 5 based on the documented evidence for this criterion. Scales automatically across Kubernetes infrastructure with dedicated compute pools and dev/test/prod environment isolation.
GCP,Autonomy,Evaluated,5,Assigned score of 5 based on the documented evidence for this criterion. Secure sandbox execution and proven autonomous decision-making.
GCP,Learning & Adaptability,Evaluated,4,Assigned score of 4 based on the documented evidence for this criterion. Combines evaluation feedback with model-level reinforcement fine-tuning.
GCP,Memory & Context Management,Evaluated,5,"Assigned score of 5 based on the documented evidence for this criterion. Supports memory extraction, consolidation, contradiction resolution, similarity search, and TTL expiration."
GCP,Planning & Reasoning,Evaluated,5,Assigned score of 5 based on the documented evidence for this criterion. Native Gemini integration and custom Python support. Planning is an advanced capability and not enabled for all agent types by default.
GCP,Workflow Orchestration,Evaluated,5,Assigned score of 5 based on the documented evidence for this criterion. Supports visual flow editing and complex multi-agent architectures.
GCP,Agent Creation (Low-Code / No-Code),Evaluated,5,Assigned score of 5 based on the documented evidence for this criterion. Available across Gemini Enterprise editions and includes CX Agent Studio.
GCP,Ease of Development,Evaluated,5,"Assigned score of 5 based on the documented evidence for this criterion. Supports rapid prototyping through Google AI Studio, Cloud Shell, and local evaluation tools."
GCP,LLM Agnosticism / Model Flexibility,Evaluated,4,Assigned score of 4 based on the documented evidence for this criterion. Gemini has the deepest native support; other models may require LiteLLM or custom vLLM deployment.
GCP,Multi-Agent Collaboration,Evaluated,5,Assigned score of 5 based on the documented evidence for this criterion. A2A enables cross-platform and cross-vendor agent interoperability.
GCP,Deployment Flexibility,Evaluated,4,"Assigned score of 4 based on the documented evidence for this criterion. Supports managed, serverless, air-gapped, Kubernetes, and infrastructure-as-code deployments."
GCP,Tool & API Integration,Evaluated,5,"Assigned score of 5 based on the documented evidence for this criterion. Native MCP proxy support, enterprise connectors, and live grounding."
GCP,Governance & Security,Evaluated,5,"Assigned score of 5 based on the documented evidence for this criterion. Provides prompt-injection protection, least-privilege IAM, and audit controls."
