"Evaluation Category","Evaluation Criterion","Evidence Summary","Source Type","Source URL","Evidence Confidence","Evaluation Notes"
"Category 1 – Core Agent Intelligence","Autonomy","Now Assist AI agents autonomously triage incoming service requests, execute multi-step diagnostic investigations, and remediate incidents end-to-end without manual intervention. Self-executing agentic workflows can be triggered automatically (via schedule, system events, or user intent) to analyze context, use configured tools, and execute actions across workflows and enterprise records.","Official product documentation","https://downloads.docs.servicenow.com/pdf/enus/servicenow-xanadu-release-notes-enus.pdf","High","Operates autonomously across ITSM, CSM, and HRSD workflows without requiring manual invocation."
"Category 1 – Core Agent Intelligence","Planning & Reasoning","ServiceNow's AI Agent Orchestrator plans and coordinates tasks across AI agents, while individual agents use domain-tuned Now LLM reasoning engines, prompt-chaining, record context, searchable CMDB data, knowledge articles, and LLM-generated next-best actions to analyze unstructured incident logs, set intermediate goals, and execute remediation subflows.","Official product documentation","https://downloads.docs.servicenow.com/pdf/enus/servicenow-xanadu-release-notes-enus.pdf","High","Supports dynamic reasoning and execution across structured CMDB data, business logic, and unstructured knowledge content."
"Category 1 – Core Agent Intelligence","Workflow Orchestration","Agentic workflows coordinate multi-step, cross-departmental actions using Flow Designer, Process Automation Designer, Playbooks, and the AI Agent Orchestrator. Workflows leverage triggers, tools, modular action blocks, and prebuilt agentic flow templates that can execute on a schedule, on demand, or in response to system events.","Official product documentation","https://docs.servicenow.com/bundle/xanadu-build-workflows/page/administer/flow-designer/concept/flow-template.html","High","Provides visual drag-and-drop orchestration templates alongside automatic trigger activation and AI-driven control flow."
"Category 1 – Core Agent Intelligence","Memory & Context Management","ServiceNow provides long-term semantic memory that retains user-specific facts across interactions, while AI Agent Orchestrator and Now Assist maintain short-term session memory during execution. Context is assembled by combining dialogue history with grounding from the ServiceNow Configuration Management Database (CMDB), user profiles, and active records.","Official product documentation","https://downloads.docs.servicenow.com/pdf/enus/servicenow-xanadu-release-notes-enus.pdf","High","Combines short-term workflow tracking with persistent long-term semantic user memory and CMDB grounding."
"Category 1 – Core Agent Intelligence","Learning & Adaptability","AI agents feature episodic memory learning, converting execution outcomes, past failures, and fixes into experience applied to future tasks. Now Assist Analytics, skill evaluation tools, and user feedback metrics (thumbs up/down) in the Now Assist Admin Console track acceptance rates to iteratively refine skills and prompts.","Official product documentation","https://downloads.docs.servicenow.com/pdf/enus/servicenow-xanadu-release-notes-enus.pdf","High","Combines episodic outcome-based learning loops with administrator-guided prompt/skill evaluation and refinement."
"Category 2 – Agent Architecture & Development","Multi-Agent Collaboration","AI Agent Orchestrator coordinates multiple specialized domain agents (such as IT Service Desk, Case Triage, and Security Operations agents), managing task sequencing, context sharing, handoffs, and delegation across complex enterprise workflows.","Official product documentation","https://www.servicenow.com/au/ai/use-cases.html","High","Multi-agent architecture enables collaboration and task delegation across IT, HR, and customer service domains."
"Category 2 – Agent Architecture & Development","Agent Creation (Low-Code / No-Code)","AI Agent Studio, Now Assist Skill Kit, and Creator Studio provide guided low-code/no-code visual builders to define agent roles, instructions, tools, memory, and access channels. The platform also supports natural-language agent creation in its Prime tier and prompt-based skill authoring.","Official product documentation","https://downloads.docs.servicenow.com/pdf/enus/servicenow-zurich-hyperautomation-low-code-enus.pdf","High","Enables citizen and pro developers to build and configure custom agents and skills visually or via natural language."
"Category 2 – Agent Architecture & Development","LLM Agnosticism / Model Flexibility","The ServiceNow AI Platform and Generative AI Controller support the proprietary Now LLM Service as well as third-party model providers including Microsoft Azure OpenAI, Google Cloud (Gemini), AWS (Claude), OpenAI, and IBM watsonx. Model selection can be assigned per skill or use case.","Official product documentation","https://downloads.docs.servicenow.com/pdf/enus/servicenow-xanadu-release-notes-enus.pdf","High","Out-of-the-box model support varies across specific prebuilt skills and agentic workflows."
"Category 2 – Agent Architecture & Development","Ease of Development","AI Agent Studio provides guided setup for roles, triggers, channels, and memory, while AI Agent Advisor proposes or generates agents from instance data. Now Assist for Creator adds App Generation, Flow Generation from text prompts, Code Generation in Studio/VS Code, and Automated Testing Framework (ATF) support.","Official product documentation","https://downloads.docs.servicenow.com/pdf/enus/servicenow-zurich-hyperautomation-low-code-enus.pdf","High","Comprehensive developer tooling combining generative coding, automated flow drafting, and automated testing."
"Category 3 – Enterprise Integration & Deployment","Tool & API Integration","Agents integrate with enterprise systems via Integration Hub (hundreds of prebuilt spokes), REST/SOAP APIs, OpenAPI imports, RPA Hub connectors, and record operations. The MCP Client enables agents to connect to external MCP servers, while the MCP Server Console exposes ServiceNow functionality to external AI applications.","Official product documentation","https://docs.servicenow.com/bundle/xanadu-integrate-applications/page/product/rpa-hub/reference/process-parameter-form.html","High","Supports bi-directional synchronous/asynchronous API execution and native Model Context Protocol (MCP) tooling."
