"Evaluation Category","Evaluation Criterion","Evidence Summary","Source Type","Source URL","Evidence Confidence","Evaluation Notes"
"Category 1 – Core Agent Intelligence","Autonomy","Glean Agents execute multi-step workflows autonomously—retrieving information, executing code, and triggering actions across enterprise tools based on conversational, scheduled, trigger-based, or form inputs. Scheduled/background agents can run headless end-to-end without per-run user confirmation.","Official product documentation","https://docs.glean.com/agents/how-agents-work; https://docs.glean.com/security/agents/background-agents; https://www.glean.com/resources/guides/agents","High","Autonomous tool invocation and headless background runs are subject to administrator and agent-permission controls."
"Category 1 – Core Agent Intelligence","Planning & Reasoning","Glean's agentic planner breaks down complex goals using multi-stage prompting and prompt chaining, leveraging reasoning models (e.g., o3, Gemini Pro 2.5) to decide intermediate logic, select tools, and loop/branch until goal conditions are met.","Official product documentation","https://docs.glean.com/agents/actions/build-agent-with-atomic-actions; https://docs.glean.com/security/how-code-search-works; https://docs.glean.com/agents/create-powerful-agent","High","Supports reasoning-specific LLMs at both the overall agent level and individual step levels; adapts subsequent tool calls based on intermediate results."
"Category 1 – Core Agent Intelligence","Workflow Orchestration","Glean Agent Builder provides a visual flow canvas to define triggers, step sequences, document read actions, prompt formatting, loops, and conditional branching. Agents can also be auto-drafted from natural language and use planner-driven orchestration for multi-step execution and retries.","Official product documentation","https://docs.glean.com/agents/how-agents-work; https://docs.glean.com/agents/actions/build-agent-with-atomic-actions; https://docs.glean.com/agents/create-agents/create-your-first-agent","High","Workflows support both visual step-by-step manual configuration and natural language generation."
"Category 1 – Core Agent Intelligence","Memory & Context Management","Agents store inputs, outputs, conversation history, and prior step results in memory, leveraging Glean's Enterprise Graph and semantic RAG to persist and retrieve permission-aware context across connected company sources. Sub-agent outputs return directly to parent agent memory.","Official product documentation","https://docs.glean.com/agents/concepts/memory; https://www.glean.com/blog/rag-for-llms","High","Combines real-time step execution memory with enterprise-wide graph retrieval. Memory primarily persists execution context rather than cross-session user memory across unrelated runs."
"Category 1 – Core Agent Intelligence","Learning & Adaptability","Glean agents adapt dynamically during loops using tool feedback and intermediate results. Performance is continuously monitored via Agent Insights user feedback metrics (thumbs up/down), task-specific LLM judges, and evaluation test sets to guide prompt/step refinement.","Official product documentation","https://docs.glean.com/security/how-code-search-works; https://docs.glean.com/agents/actions/build-agent-with-atomic-actions; https://docs.glean.com/agents/concepts/feedback-in-agent-insights","High / Medium","Evidence supports runtime loop adaptation and builder-driven prompt refinement based on analytics, but not autonomous continual model retraining from errors."
"Category 2 – Agent Architecture & Development","Multi-Agent Collaboration","Glean supports Sub-agents as direct workflow steps (allowing parent agents to delegate tasks and ingest results) and enables agents to be exposed as callable tools over the Model Context Protocol (MCP) gateway for external multi-agent systems.","Technical documentation and developer guides","https://docs.glean.com/agents/how-agents-work; https://docs.glean.com/agents/concepts/memory; https://docs.glean.com/administration/platform/mcp/agents-as-tools","High","MCP gateway compatibility enables standard agent-to-agent tool invocation across internal workflows and external agent platforms."
"Category 2 – Agent Architecture & Development","Agent Creation (Low-Code / No-Code)","Glean Agent Builder provides a no-code visual canvas and a conversational ""Build with Natural Language"" interface that automatically generates workflow steps, triggers, and tool configurations from plain text descriptions.","Official product documentation","https://docs.glean.com/agents/create-agent-natural-language; https://docs.glean.com/agents/concepts/agent-builder; https://docs.glean.com/agents/create-agents/create-your-first-agent","High","Users can visually reorder steps, add branching, and configure tool parameters; natural language drafting requires an agentic model configured in the org."
"Category 2 – Agent Architecture & Development","LLM Agnosticism / Model Flexibility","Glean's Model Hub supports commercial and open-source models from Anthropic (Claude), OpenAI (GPT-4, o3), Google (Gemini), Amazon, and Meta. Models can be configured globally, per agent, or independently for individual workflow steps.","Official product documentation","https://docs.glean.com/administration/llms; https://docs.glean.com/agents/create-powerful-agent","High","Allows granular, step-level assignment of specialized reasoning models versus standard generation models. Availability depends on hosting environment."
"Category 2 – Agent Architecture & Development","Ease of Development","Features natural-language workflow generation, prebuilt agent templates, action integrations, prompt enhancement, live draft previewing, and an interactive step-by-step debug mode to inspect raw tool inputs, outputs, and data transformations.","Official product documentation","https://docs.glean.com/agents/concepts/agent-builder; https://docs.glean.com/agents/create-agents/create-your-first-agent","High","Interactive debug mode and prebuilt templates significantly reduce custom development overhead."
"Category 3 – Enterprise Integration & Deployment","Tool & API Integration","Glean provides 100+ native connectors (GitHub, Jira, Salesforce, Slack, Google Workspace, M365, Snowflake, Zendesk), standard REST APIs, and remote Model Context Protocol (MCP) server/gateway support to connect custom external tools.","Technical documentation and developer guides","https://docs.glean.com/get-started/setup/connect-data-sources; https://docs.glean.com/administration/actions/connect-remote-mcp-servers-to-glean; https://docs.glean.com/administration/tools/","High","Exposes Glean enterprise knowledge and actions via both standard REST APIs and MCP interfaces (remote MCP noted in Beta)."
